Main Voice,Main Volume,Main Octave,Main Reverb Level,Main Chorus Level,Dual Voice,Dual Volume,Dual Octave,Dual Reverb Level,Dual Chorus Level
152,100,0,28,0,54,70,0,32,0
153,127,0,28,0,54,70,0,32,0
154,104,0,28,0,54,70,0,32,0
155,113,0,28,0,54,70,0,32,0
156,104,0,28,0,54,70,0,32,0
157,104,0,28,0,54,70,0,32,0
158,127,0,28,0,54,70,0,32,0
159,104,0,28,0,54,70,0,32,0
160,104,0,28,0,54,70,0,32,0
161,104,0,28,0,54,70,0,32,0
162,104,0,28,0,54,70,0,32,0
163,100,0,28,0,54,70,0,32,0
164,94,0,28,0,54,70,0,32,0
165,127,0,28,0,54,70,0,32,0
166,97,0,28,0,54,70,0,32,0
167,104,0,28,0,54,70,0,32,0
168,99,0,28,0,54,70,0,32,0
169,104,0,28,0,54,70,0,32,0
170,80,0,28,0,54,70,0,32,0
171,80,0,28,0,54,70,0,32,0
172,99,0,28,0,54,70,0,32,0
173,99,0,28,0,54,70,0,32,0
174,99,0,28,0,54,70,0,32,0
175,90,0,28,0,54,70,0,32,0
176,104,0,28,0,54,70,0,32,0
177,85,0,28,0,54,70,0,32,0
178,104,0,28,0,54,70,0,32,0
179,104,0,28,0,54,70,0,32,0
180,104,0,28,0,54,70,0,32,0
181,104,0,28,0,54,70,0,32,0
182,97,0,28,0,54,70,0,32,0
183,104,0,28,0,54,70,0,32,0
184,104,0,28,0,54,70,0,32,0
185,114,0,28,0,54,70,0,32,0
186,104,0,28,0,54,70,0,32,0
187,104,0,28,0,54,70,0,32,0
188,104,0,28,0,54,70,0,32,0
189,95,0,28,0,54,70,0,32,0
190,114,0,28,0,54,70,0,32,0
191,85,0,28,0,54,70,0,32,0
192,104,0,28,0,54,70,0,32,0
193,96,0,28,0,54,70,0,32,0
194,104,0,28,0,54,70,0,32,0
195,104,0,28,0,54,70,0,32,0
196,104,0,28,0,54,70,0,32,0
197,104,0,28,0,54,70,0,32,0
198,104,0,28,0,54,70,0,32,0
199,104,0,28,0,54,70,0,32,0
200,92,0,28,0,54,70,0,32,0
201,94,0,28,0,54,70,0,32,0
202,104,0,28,0,54,70,0,32,0
203,104,0,28,0,54,70,0,32,0
204,104,0,28,0,54,70,0,32,0
205,104,0,28,0,54,70,0,32,0
206,104,0,28,0,54,70,0,32,0
207,104,0,28,0,54,70,0,32,0
208,104,0,28,0,54,70,0,32,0
209,99,0,28,0,54,70,0,32,0
210,104,0,28,0,54,70,0,32,0
211,104,0,28,0,54,70,0,32,0
212,104,0,28,0,54,70,0,32,0
213,104,0,28,0,54,70,0,32,0
214,104,0,28,0,54,70,0,32,0
215,104,0,28,0,54,70,0,32,0
216,127,0,28,0,54,70,0,32,0
217,104,0,28,0,54,70,0,32,0
218,85,0,28,0,54,70,0,32,0
219,104,0,28,0,54,70,0,32,0
220,104,0,28,0,54,70,0,32,0
221,104,0,28,0,54,70,0,32,0
222,104,0,28,0,54,70,0,32,0
223,104,0,28,0,54,70,0,32,0
224,99,0,28,0,54,70,0,32,0
225,104,0,28,0,54,70,0,32,0
226,104,0,28,0,54,70,0,32,0
227,104,0,28,0,54,70,0,32,0
228,104,0,28,0,54,70,0,32,0
229,104,0,28,0,54,70,0,32,0
230,104,0,28,0,54,70,0,32,0
231,80,0,28,0,54,70,0,32,0
232,104,0,28,0,54,70,0,32,0
233,90,0,28,0,54,70,0,32,0
234,104,0,28,0,54,70,0,32,0
235,100,0,28,0,54,70,0,32,0
236,100,0,28,0,54,70,0,32,0
237,104,0,28,0,54,70,0,32,0
238,104,0,28,0,54,70,0,32,0
239,95,0,28,0,54,70,0,32,0
240,104,0,28,0,54,70,0,32,0
241,66,0,28,0,54,70,0,32,0
242,66,0,28,0,54,70,0,32,0
243,90,0,28,0,54,70,0,32,0
244,70,0,28,0,54,70,0,32,0
245,65,0,28,0,54,70,0,32,0
246,104,0,28,0,54,70,0,32,0
247,104,0,28,0,54,70,0,32,0
248,104,0,28,0,54,70,0,32,0
249,75,0,28,0,54,70,0,32,0
250,104,0,28,0,54,70,0,32,0
251,104,0,28,0,54,70,0,32,0
252,95,0,28,0,54,70,0,32,0
253,104,0,28,0,54,70,0,32,0
254,104,0,28,0,54,70,0,32,0
255,104,0,28,0,54,70,0,32,0
256,104,0,28,0,54,70,0,32,0
257,80,0,28,0,54,70,0,32,0
258,70,0,28,0,54,70,0,32,0
259,90,0,28,0,54,70,0,32,0
260,104,0,28,0,54,70,0,32,0
261,104,0,28,0,54,70,0,32,0
262,104,0,28,0,54,70,0,32,0
